college_name,nickname,conference,tag_list,network_list
Air Force,Falcons,Mountain West,"Colorado Springs, Colorado, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, Root Sports, , , , , "
Akron,Zips,MAC,"Akron, Ohio, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, American Sports Network, CBS Sports Network, , , , , "
Alabama,Crimson Tide,SEC,"Tuscaloosa, Alabama, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, SEC Network, , , , , "
Appalachian State,Mountaineers,Sun Belt,"Boone, North Carolina, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, , , , , , , "
Arizona,Wildcats,Pac-12,"Tucson, Arizona, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
Arizona State,Sun Devils,Pac-12,"Tempe, Arizona, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
Arkansas,Razorbacks,SEC,"Fayetteville, Arkansas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, SEC Network, , , , , "
Arkansas State,Red Wolves,Sun Belt,"Jonesboro, Arkansas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, , , , , , , "
Army West Point,Black Knights,Independent,"West Point, New York, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, NBC, , , , , , , , , , "
Auburn,Tigers,SEC,"Auburn, Alabama, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, SEC Network, , , , , "
Ball State,Cardinals,MAC,"Muncie, Indiana, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, American Sports Network, CBS Sports Network, , , , , "
