id,name,windows,price,ppv
1,OTA,Live,0.00,
2,Sling,Live,20.00,
3,Sling TV - Orange,Live,20.00,
4,Sling TV - Blue,Live,25.00,
5,Sling TV - Orange + Blue,Live,40.00,
6,Playstation Vue,"Live, On Demand",29.99,
7,Playstation Vue - Access Slim,"Live, On Demand",29.99,
8,Playstation Vue - Core Slim,"Live, On Demand",34.99,
9,Playstation Vue - Elite Slim,"Live, On Demand",44.99,
10,HBO NOW,"Live, On Demand, Binge",14.99,
11,Showtime,"Live, On Demand, Binge",10.99,
12,CBS All Access,"Live, On Demand, Binge",5.99,
13,Starz,"On Demand, Binge",8.99,
14,NBC Streaming App,"On Demand, Binge",0.00,
15,Hulu,On Demand,7.99,
16,Netflix,Binge,9.99,
17,AmazonPrime,"On Demand, Binge",8.25,
18,YouTube Red,"On Demand, Binge",9.99,
19,CW Seed,Binge,0.00,
20,Seeso,Binge,3.99,
21,Acorn TV,"On Demand, Binge",4.99,
22,History Vault,Binge,4.99,
23,Twitch,"Live, On Demand",0.00,
24,Machinima,"Live, On Demand",3.99,
25,Crunchyroll,"On Demand, Binge",6.95,
26,PBS Kids,Live,0.00,
27,Tubi TV,Binge,0.00,
28,Crackle,"On Demand, Binge",0.00,
29,Snag Films,Binge,0.00,
30,Newsy,"Live, On Demand",0.00,
31,Sky News,Live,0.00,
32,NBA League Pass,Live,16.67,
33,mlb.tv,Live,10.83,
34,Fubo TV,Live,9.99,
35,Google Play,Pay Per Episode or Season,,PPV
36,iTunes,Pay Per Episode or Season,,PPV
37,VUDU,Pay Per Episode or Season,,PPV
38,YouTube,Pay Per Episode or Season,,PPV
39,Amazon,Pay Per Episode or Season,,PPV
